Region,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCases,CasesPerM,DeathsPerM,TotalTests,TestsPerM,Population
China,100871,+140,4636 ,None,94354,+110,1881,9,70,3,160000000,111163,1439323776 
USA,53026765,+40458,837779 ,+108,41001184,+6934,11187802,16104,158821,2509,798517464,2391655,333876557
India,34786802,+6987,479682 ,+162,34223263,+7286,83857,8944,24846,343,671051627,479293,1400087391
Brazil,22234626,+3889,618457 ,+28,21414318,None,201851,8318,103515,2879,63776166,296914,214796423
UK,11891292,None,147857 ,None,9961369,None,1782066,842,173814,2161,395579689,5782142,68414037
Russia,10368299,+24946,303250 ,+981,9222486,+42107,842563,2300,71003,2077,237800000,1628464,146027142
Turkey,9286986,+20470,81403 ,+145,8922510,+22109,283073,1128,108389,950,116501775,1359695,85682302
France,9088371,+104611,122546 ,+84,7794802,+42085,1171023,3254,138780,1871,182873794,2792503,65487413
Germany,6999476,+17248,111025 ,+117,6087300,+38500,801151,4636,83148,1319,89622218,1064641,84180671
Iran,6182905,+1121,131348 ,+42,6024211,+2061,27346,2781,72244,1535,41388312,483599,85583878
Spain,5718007,None,89019 ,None,5002310,None,626678,1515,122228,1903,66213858,1415383,46781600
Italy,5622431,+54762,136530 ,+144,4985435,+14851,500466,1071,93194,2263,135138103,2239977,60330139
Argentina,5452419,+7183,117020 ,+12,5259080,+5375,76319,809,119023,2554,27433892,598867,45809690
Colombia,5121668,+3414,129729 ,+43,4957334,+1795,34605,342,99093,2510,29255860,566035,51685618
Indonesia,4261667,+255,144053 ,+6,4112901,+195,4713,None,15341,519,61840900,222606,277804630
Poland,4043586,+10789,94311 ,+269,3543828,+21012,405447,2046,107015,2496,26681046,706124,37785215
Mexico,3947284,+3520,298670 ,+162,3297421,+1988,351193,4798,30146,2281,12257778,93615,130937770
Ukraine,3642314,+5276,94700 ,+268,3423933,+15639,123681,177,84032,2185,16656395,384279,43344526
South Africa,3407937,+14828,90773 ,+30,3102717,+7815,214447,546,56409,1502,21038633,348234,60415283
Netherlands,3053124,+12564,20705 ,+44,2513476,+22144,518943,537,177600,1204,19205114,1117160,17191020
Philippines,2838207,+259,51187 ,+137,2777635,+186,9385,899,25400,458,24937631,223177,111739317
Malaysia,2738401,+3160,31315 ,+25,2661495,+4421,45591,324,83033,950,40469185,1227095,32979665
