Region,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCases,CasesPerM,DeathsPerM,TotalTests,TestsPerM,Population
China,100076,+76,4636 ,None,93884,+26,1556,10,70,3,160000000,111163,1439323776 
USA,51610281,+163707,826719 ,+1653,40474346,+66544,10309216,15602,154596,2476,785300895,2352331,333839503
India,34733194,+7145,477158 ,+289,34162765,+7886,93271,8944,24812,341,661507694,472564,1399828108
Brazil,22209020,+4079,617647 ,+126,21414318,None,177055,8318,103410,2876,63776166,296954,214767569
UK,11189010,+92597,147048 ,+111,9697659,+39284,1344303,875,163565,2150,384287490,5617644,68407231
Russia,10159389,+27743,295104 ,+1080,8914225,+37437,950060,2300,69572,2021,234000000,1602455,146025949
Turkey,9136565,+18141,80053 ,+190,8737174,+24245,319338,1128,106655,934,113684162,1327079,85664955
France,8518840,+58128,121333 ,+162,7467229,+37030,930278,2901,130089,1853,178020146,2718502,65484659
Germany,6757593,+48375,108606 ,+452,5679400,+60800,969587,4636,80280,1290,87852398,1043681,84175561
Iran,6167650,+2196,130992 ,+46,5995734,+4836,40924,2941,72083,1531,40463565,472908,85563317
Spain,5455527,+33359,88708 ,+41,4968287,+3218,398532,1306,116618,1896,66213858,1415393,46781255
Argentina,5382290,+5648,116892 ,+18,5228552,+3100,36846,756,117513,2552,26961711,588661,45801766
Italy,5336788,+28625,135421 ,+120,4869406,+14457,331961,923,88457,2245,129104696,2139910,60331833
Colombia,5103269,+1803,129345 ,+50,4943964,+1573,29960,342,98757,2503,28885434,558980,51675252
Indonesia,4260148,+291,143986 ,+7,4111250,+205,4912,None,15338,518,59652804,214772,277749346
Mexico,3927265,+2627,297356 ,+169,3281944,+2041,347965,4798,29999,2271,12133530,92685,130911878
Poland,3923467,+20022,90872 ,+566,3386221,+24693,446374,2106,103834,2405,26068551,689900,37786004
Ukraine,3597046,+8899,92641 ,+328,3306465,+21650,197940,177,82978,2137,16439563,379233,43349525
South Africa,3276529,+20713,90297 ,+35,2975417,+20498,210815,546,54246,1495,20985692,347440,60400983
Netherlands,2952128,+15367,20370 ,+60,2334922,+20705,596836,622,171732,1185,19205114,1117207,17190297
Philippines,2837264,+382,50569 ,+73,2776433,+200,10262,899,25398,453,24814389,222129,111711419
Malaysia,2711764,+4362,31044 ,+18,2625245,+5098,55475,400,82245,942,39517168,1198517,32971734
Czechia,2388300,+9493,35123 ,+93,2154750,+556,198427,895,222415,3271,45951590,4279333,10738025
Peru,2261883,+1703,202120 ,+44,N/A,N/A,N/A,940,67233,6008,21074547,626423,33642689
Thailand,2185497,+3537,21325 ,+41,2120691,+5459,43481,1061,31196,304,14913135,212874,70056018
Iraq,2090026,+357,24042 ,+12,2058994,+688,6990,91,50314,579,16643095,400656,41539586
Belgium,1990160,+10040,27859 ,+39,1487522,+9377,474779,804,170634,2389,26251807,2250795,11663349
Canada,1866907,+8908,30032 ,+20,1788221,+4143,48654,455,48839,786,50635831,1324654,38225700
Romania,1796973,+743,58087 ,+40,1723129,+1344,15757,570,94329,3049,16614265,872139,19050013
Chile,1789109,+1433,38812 ,+39,1693803,+2074,56494,637,92432,2005,26629390,1375771,19355981
Japan,1729401,+193,18378 ,+2,1709967,+128,1056,26,13735,146,28709972,228019,125910309
Bangladesh,1580750,+191,28043 ,+2,1545259,+145,7448,1352,9461,168,11234771,67239,167086674
Vietnam,1508473,+15236,29103 ,+246,1095518,+31057,383852,7912,15296,295,72059048,730686,98618321
Israel,1354001,+720,8230 ,None,1338654,None,7117,78,145186,882,36081323,3868896,9326000 
Pakistan,1290491,+277,28863 ,+14,1252157,+243,9471,718,5681,127,22730952,100069,227153261
Serbia,1280644,+1199,12336 ,+30,1240267,+2149,28041,140,147439,1420,7045574,811150,8685907
Sweden,1250885,None,15197 ,None,1172371,+1206,63317,79,122740,1491,14208757,1394204,10191301
Austria,1245232,+2899,13438 ,+52,1180605,+5690,51189,516,137117,1480,116984758,12881647,9081506
Hungary,1218295,+4977,37530 ,+154,1026254,+10165,154511,519,126583,3899,8947845,929696,9624483
Portugal,1215774,+4644,18741 ,+24,1126627,+3886,70406,147,119743,1846,23437697,2308397,10153235
